											
											
#		Español	Español LATAM	Japonés	Inglés	Francés	Alemán	Italiano	Coreano	Chino simplificado	Chino tradicional
219		Velo sagrado	Velo sagrado	しんぴのまもり	Safeguard	Rune Protect	Bodyguard	Salvaguardia	신비의부적	神秘守护	神秘守護
220		Divide dolor	Dividedolor	いたみわけ	Pain Split	Balance	Leidteiler	Malcomune	아픔나누기	分担痛楚	分擔痛楚
221		Fuego sagrado	Fuego sagrado	せいなるほのお	Sacred Fire	Feu Sacré	Läuterfeuer	Magifuoco	성스러운불꽃	神圣之火	神聖之火
222		Magnitud	Magnitud	マグニチュード	Magnitude	Ampleur	Intensität	Magnitudo	매그니튜드	震级	震級
223		Puño dinámico	Puño dinámico	ばくれつパンチ	Dynamic Punch	Dynamo-Poing	Wuchtschlag	Dinamipugno	폭발펀치	爆裂拳	爆裂拳
224		Megacuerno	Megacuerno	メガホーン	Megahorn	Mégacorne	Vielender	Megacorno	메가혼	超级角击	超級角擊
225		Dragoaliento	Aliento dragón	りゅうのいぶき	Dragon Breath	Draco-Souffle	Feuerodem	Dragospiro	용의숨결	龙息	龍息
226		Relevo	Relevo	バトンタッチ	Baton Pass	Relais	Stafette	Staffetta	배턴터치	接棒	接棒
227		Otra vez	Otra vez	アンコール	Encore	Encore	Zugabe	Ripeti	앙코르	再来一次	再來一次
228		Persecución	Persecución	おいうち	Pursuit	Poursuite	Verfolgung	Inseguimento	따라가때리기	追打	追打
229		Giro rápido	Giro rápido	こうそくスピン	Rapid Spin	Tour Rapide	Turbodreher	Rapigiro	고속스핀	高速旋转	高速旋轉
230		Dulce aroma	Dulce aroma	あまいかおり	Sweet Scent	Doux Parfum	Lockduft	Profumino	달콤한향기	甜甜香气	甜甜香氣
231		Cola férrea	Cola de hierro	アイアンテール	Iron Tail	Queue de Fer	Eisenschweif	Codacciaio	아이언테일	铁尾	鐵尾
232		Garra metal	Garra de metal	メタルクロー	Metal Claw	Griffe Acier	Metallklaue	Ferrartigli	메탈클로	金属爪	金屬爪
233		Llave vital	Llave vital	あてみなげ	Vital Throw	Corps Perdu	Überwurf	Vitaltiro	받아던지기	借力摔	借力摔
234		Sol matinal	Sol matutino	あさのひざし	Morning Sun	Aurore	Morgengrauen	Mattindoro	아침햇살	晨光	晨光
235		Fotosíntesis	Fotosíntesis	こうごうせい	Synthesis	Synthèse	Synthese	Sintesi	광합성	光合作用	光合作用
236		Luz lunar	Luz lunar	つきのひかり	Moonlight	Rayon Lune	Mondschein	Lucelunare	달빛	月光	月光
237		Poder oculto	Poder oculto	めざめるパワー	Hidden Power	Puissance Cachée	Kraftreserve	Introforza	잠재파워	觉醒力量	覺醒力量
238		Tajo cruzado	Golpe cruzado	クロスチョップ	Cross Chop	Coup Croix	Kreuzhieb	Incrocolpo	크로스촙	十字劈	十字劈
239		Ciclón	Tornado	たつまき	Twister	Ouragan	Windhose	Tornado	회오리	龙卷风	龍捲風
240		Danza lluvia	Danza de lluvia	あまごい	Rain Dance	Danse Pluie	Regentanz	Pioggiadanza	비바라기	求雨	求雨
241		Día soleado	Día soleado	にほんばれ	Sunny Day	Zénith	Sonnentag	Giornodisole	쾌청	大晴天	大晴天
242		Triturar	Triturar	かみくだく	Crunch	Mâchouille	Knirscher	Sgranocchio	깨물어부수기	咬碎	咬碎
243		Manto espejo	Escudo espejo	ミラーコート	Mirror Coat	Voile Miroir	Spiegelcape	Specchiovelo	미러코트	镜面反射	鏡面反射
244		Autosugestión	Autosugestión	じこあんじ	Psych Up	Boost	Psycho-Plus	Psicamisù	자기암시	自我暗示	自我暗示
245		Velocidad extrema	Velocidad extrema	しんそく	Extreme Speed	Vitesse Extrême	Turbotempo	Extrarapido	신속	神速	神速
246		Poder pasado	Poder antiguo	げんしのちから	Ancient Power	Pouvoir Antique	Antik-Kraft	Forzantica	원시의힘	原始之力	原始之力
247		Bola sombra	Bola sombra	シャドーボール	Shadow Ball	Ball’Ombre	Spukball	Palla Ombra	섀도볼	暗影球	暗影球
248		Premonición	Premonición	みらいよち	Future Sight	Prescience	Seher	Divinazione	미래예지	预知未来	預知未來
249		Golpe roca	Golpe roca	いわくだき	Rock Smash	Éclate-Roc	Zertrümmerer	Spaccaroccia	바위깨기	碎岩	碎岩
250		Torbellino	Remolino	うずしお	Whirlpool	Siphon	Whirlpool	Mulinello	바다회오리	潮旋	潮旋
251		Paliza	Paliza	ふくろだたき	Beat Up	Baston	Prügler	Picchiaduro	집단구타	围攻	圍攻
252		Sorpresa	Sorpresa	ねこだまし	Fake Out	Bluff	Mogelhieb	Bruciapelo	속이기	击掌奇袭	擊掌奇襲
253		Alboroto	Alboroto	さわぐ	Uproar	Brouhaha	Aufruhr	Baraonda	소란피기	吵闹	吵鬧
254		Reserva	Reserva	たくわえる	Stockpile	Stockage	Horter	Accumulo	비축하기	蓄力	蓄力
255		Escupir	Escupida	はきだす	Spit Up	Relâche	Entfessler	Sfoghenergia	토해내기	喷出	噴出
256		Tragar	Tragar	のみこむ	Swallow	Avale	Verzehrer	Introenergia	꿀꺽	吞下	吞下
257		Onda ígnea	Onda ígnea	ねっぷう	Heat Wave	Canicule	Hitzewelle	Ondacalda	열풍	热风	熱風
258		Granizo	Granizo	あられ	Hail	Grêle	Hagelsturm	Grandine	싸라기눈	冰雹	冰雹
259		Tormento	Tormento	いちゃもん	Torment	Tourmente	Folterknecht	Attaccalite	트집	无理取闹	無理取鬧
260		Camelo	Halago	おだてる	Flatter	Flatterie	Schmeichler	Adulazione	부추기기	吹捧	吹捧
261		Fuego fatuo	Fuego fatuo	おにび	Will-O-Wisp	Feu Follet	Irrlicht	Fuocofatuo	도깨비불	磷火	鬼火
262		Legado	Recuerdo	おきみやげ	Memento	Souvenir	Memento-Mori	Memento	추억의선물	临别礼物	臨別禮物
263		Imagen	Fachada	からげんき	Facade	Façade	Fassade	Facciata	객기	硬撑	硬撐
264		Puño certero	Puño centrado	きあいパンチ	Focus Punch	Mitra-Poing	Power-Punch	Centripugno	힘껏펀치	真气拳	真氣拳
265		Estímulo	Estímulo	きつけ	Smelling Salts	Stimulant	Riechsalz	Maniereforti	정신차리기	清醒	清醒
266		Señuelo	Señuelo	このゆびとまれ	Follow Me	Par Ici	Spotlight	Sonoqui	날따름	看我嘛	看我嘛
267		Adaptación	Adaptación	しぜんのちから	Nature Power	Force Nature	Natur-Kraft	Naturforza	자연의힘	自然之力	自然之力
268		Carga	Carga	じゅうでん	Charge	Chargeur	Ladevorgang	Sottocarica	충전	充电	充電
269		Mofa	Provocación	ちょうはつ	Taunt	Provoc	Verhöhner	Provocazione	도발	挑衅	挑釁
270		Refuerzo	Refuerzos	てだすけ	Helping Hand	Coup d’Main	Rechte Hand	Altruismo	도우미	帮助	幫助
271		Truco	Truco	トリック	Trick	Tour de Magie	Trickbetrug	Raggiro	트릭	戏法	戲法
272		Imitación	Imitación	なりきり	Role Play	Imitation	Rollenspiel	Giocodiruolo	역할	扮演	扮演
273		Deseo	Deseo	ねがいごと	Wish	Vœu	Wunschtraum	Desiderio	희망사항	祈愿	祈願
274		Ayuda	Ayuda	ねこのて	Assist	Assistance	Zuschuss	Assistente	조수	借助	借助
275		Arraigo	Arraigo	ねをはる	Ingrain	Racines	Verwurzler	Radicamento	뿌리박기	扎根	扎根
276		Fuerza bruta	Fuerza bruta	ばかぢから	Superpower	Surpuissance	Kraftkoloss	Troppoforte	엄청난힘	蛮力	蠻力
277		Capa mágica	Capa mágica	マジックコート	Magic Coat	Reflet Magik	Magiemantel	Magivelo	매직코트	魔法反射	魔法反射
278		Reciclaje	Reciclaje	リサイクル	Recycle	Recyclage	Aufbereitung	Riciclo	리사이클	回收利用	回收利用
279		Desquite	Desquite	リベンジ	Revenge	Vendetta	Vergeltung	Vendetta	리벤지	报复	報復
280		Demolición	Karatazo	かわらわり	Brick Break	Casse-Brique	Durchbruch	Breccia	깨트리기	劈瓦	劈瓦
281		Bostezo	Bostezo	あくび	Yawn	Bâillement	Gähner	Sbadiglio	하품	哈欠	哈欠
282		Desarme	Desarme	はたきおとす	Knock Off	Sabotage	Abschlag	Privazione	탁쳐서떨구기	拍落	拍落
283		Esfuerzo	Esfuerzo	がむしゃら	Endeavor	Effort	Notsituation	Rimonta	죽기살기	蛮干	蠻幹
284		Estallido	Estallido	ふんか	Eruption	Éruption	Eruption	Eruzione	분화	喷火	噴火
285		Intercambio	Intercambio	スキルスワップ	Skill Swap	Échange	Fähigkeitstausch	Baratto	스킬스왑	特性互换	特性互換
286		Sellar	Sellar	ふういん	Imprison	Possessif	Begrenzer	Esclusiva	봉인	封印	封印
287		Alivio	Alivio	リフレッシュ	Refresh	Régénération	Heilung	Rinfrescata	리프레시	焕然一新	煥然一新
288		Rabia	Rabia	おんねん	Grudge	Rancune	Nachspiel	Rancore	원념	怨念	怨念
289		Robo	Robo	よこどり	Snatch	Saisie	Übernahme	Scippo	가로채기	化为己用	搶奪
290		Daño secreto	Poder secreto	ひみつのちから	Secret Power	Force Cachée	Geheimpower	Forzasegreta	비밀의힘	秘密之力	秘密之力
291		Buceo	Buceo	ダイビング	Dive	Plongée	Taucher	Sub	다이빙	潜水	潛水
292		Empujón	Empujón	つっぱり	Arm Thrust	Cogne	Armstoß	Sberletese	손바닥치기	猛推	猛推
293		Camuflaje	Camuflaje	ほごしょく	Camouflage	Camouflage	Tarnung	Camuffamento	보호색	保护色	保護色
294		Luminicola	Luminicola	ほたるび	Tail Glow	Lumi-Queue	Schweifglanz	Codadiluce	반딧불	萤火	螢火
295		Resplandor	Resplandor	ラスターパージ	Luster Purge	Lumi-Éclat	Scheinwerfer	Abbagliante	러스터퍼지	洁净光芒	潔淨光芒
296		Bola neblina	Bola neblina	ミストボール	Mist Ball	Ball’Brume	Nebelball	Foschisfera	미스트볼	薄雾球	薄霧球
297		Danza pluma	Danza de plumas	フェザーダンス	Feather Dance	Danse Plumes	Daunenreigen	Danzadipiume	깃털댄스	羽毛舞	羽毛舞
298		Danza caos	Danza del caos	フラフラダンス	Teeter Dance	Danse Folle	Taumeltanz	Strampadanza	흔들흔들댄스	摇晃舞	搖晃舞
299		Patada ígnea	Patada ígnea	ブレイズキック	Blaze Kick	Pied Brûleur	Feuerfeger	Calciardente	블레이즈킥	火焰踢	火焰踢
300		Chapoteo lodo	Chapoteo de lodo	どろあそび	Mud Sport	Lance-Boue	Lehmsuhler	Fangata	흙놀이	玩泥巴	玩泥巴
301		Bola hielo	Bola hielo	アイスボール	Ice Ball	Ball’Glace	Frostbeule	Palla Gelo	아이스볼	冰球	冰球
302		Brazo pincho	Brazo aguja	ニードルアーム	Needle Arm	Poing Dard	Nietenranke	Pugnospine	바늘팔	尖刺臂	尖刺臂
303		Relajo	Relajar	なまける	Slack Off	Paresse	Tagedieb	Pigro	게으름피우기	偷懒	偷懶
304		Vozarrón	Hipervoz	ハイパーボイス	Hyper Voice	Mégaphone	Schallwelle	Granvoce	하이퍼보이스	巨声	巨聲
305		Colmillo veneno	Colmillo veneno	どくどくのキバ	Poison Fang	Crochet Venin	Giftzahn	Velenodenti	맹독엄니	剧毒牙	劇毒牙
306		Garra brutal	Garra brutal	ブレイククロー	Crush Claw	Éclate Griffe	Zermalmklaue	Tritartigli	브레이크클로	撕裂爪	撕裂爪
307		Anillo ígneo	Anillo de fuego	ブラストバーン	Blast Burn	Rafale Feu	Lohekanonade	Incendio	블라스트번	爆炸烈焰	爆炸烈焰
308		Hidrocañón	Hidrocañón	ハイドロカノン	Hydro Cannon	Hydroblast	Aquahaubitze	Idrocannone	하이드로캐논	加农水炮	加農水炮
309		Puño meteoro	Puño meteoro	コメットパンチ	Meteor Mash	Poing Météore	Sternenhieb	Meteorpugno	코멧펀치	彗星拳	彗星拳
310		Impresionar	Impresión	おどろかす	Astonish	Étonnement	Erstauner	Sgomento	놀래키기	惊吓	驚嚇
311		Meteorobola	Meteorobola	ウェザーボール	Weather Ball	Ball’Météo	Meteorologe	Palla Clima	웨더볼	气象球	氣象球
312		Aromaterapia	Aromaterapia	アロマセラピー	Aromatherapy	Aromathérapie	Aromakur	Aromaterapia	아로마테라피	芳香治疗	芳香治療
313		Llanto falso	Llanto falso	うそなき	Fake Tears	Croco Larme	Trugträne	Falselacrime	거짓울음	假哭	假哭
314		Aire afilado	Aire cortante	エアカッター	Air Cutter	Tranch’Air	Windschnitt	Aerasoio	에어커터	空气利刃	空氣利刃
315		Sofoco	Supercalor	オーバーヒート	Overheat	Surchauffe	Hitzekoller	Vampata	오버히트	过热	過熱
316		Rastreo	Rastreo	かぎわける	Odor Sleuth	Flair	Schnüffler	Segugio	냄새구별	气味侦测	氣味偵測
317		Tumba rocas	Tumba de rocas	がんせきふうじ	Rock Tomb	Tomberoche	Felsgrab	Rocciotomba	암석봉인	岩石封锁	岩石封鎖
318		Viento plata	Viento plateado	ぎんいろのかぜ	Silver Wind	Vent Argenté	Silberhauch	Ventargenteo	은빛바람	银色旋风	銀色旋風
319		Eco metálico	Sonido metálico	きんぞくおん	Metal Sound	Strido-Son	Metallsound	Ferrostrido	금속음	金属音	金屬音
320		Silbato	Silbato de hoja	くさぶえ	Grass Whistle	Siffl’Herbe	Grasflöte	Meloderba	풀피리	草笛	草笛
321		Cosquillas	Cosquillas	くすぐる	Tickle	Chatouille	Spaßkanone	Solletico	간지르기	挠痒	搔癢
322		Masa cósmica	Masa cósmica	コスモパワー	Cosmic Power	Force Cosmique	Kosmik-Kraft	Cosmoforza	코스믹파워	宇宙力量	宇宙力量
323		Salpicar	Columna de agua	しおふき	Water Spout	Giclédo	Fontränen	Zampillo	해수스파우팅	喷水	噴水
324		Rayo señal	Rayo señal	シグナルビーム	Signal Beam	Rayon Signal	Ampelleuchte	Segnoraggio	시그널빔	信号光束	信號光束
325		Puño sombra	Puño sombra	シャドーパンチ	Shadow Punch	Poing Ombre	Finsterfaust	Pugnodombra	섀도펀치	暗影拳	暗影拳
326		Paranormal	Extrasensorial	じんつうりき	Extrasensory	Extrasenseur	Sondersensor	Extrasenso	신통력	神通力	神通力
327		Gancho alto	Corte elevado	スカイアッパー	Sky Uppercut	Stratopercut	Himmelhieb	Stramontante	스카이어퍼	冲天拳	衝天拳
328		Bucle arena	Tumba de arena	すなじごく	Sand Tomb	Tourbi-Sable	Sandgrab	Sabbiotomba	모래지옥	流沙深渊	流沙地獄
329		Frío polar	Frío extremo	ぜったいれいど	Sheer Cold	Glaciation	Eiseskälte	Purogelo	절대영도	绝对零度	絕對零度
330		Agua lodosa	Agua lodosa	だくりゅう	Muddy Water	Ocroupi	Lehmbrühe	Fanghiglia	탁류	浊流	濁流
331		Semilladora	Bala semilla	タネマシンガン	Bullet Seed	Balle Graine	Kugelsaat	Semitraglia	씨기관총	种子机关枪	種子機關槍
332		Golpe aéreo	As aéreo	つばめがえし	Aerial Ace	Aéropique	Aero-Ass	Aeroassalto	제비반환	燕返	燕返
333		Carámbano	Lanza de hielo	つららばり	Icicle Spear	Stalactite	Eisspeer	Gelolancia	고드름침	冰锥	冰錐
334		Defensa férrea	Defensa hierro	てっぺき	Iron Defense	Mur de Fer	Eisenabwehr	Ferroscudo	철벽	铁壁	鐵壁
335		Bloqueo	Bloqueo	とおせんぼう	Block	Barrage	Rückentzug	Blocco	블록	挡路	擋路
336		Aullido	Aullido	とおぼえ	Howl	Grondement	Jauler	Gridodilotta	멀리짖기	长嚎	長嚎
337		Garra dragón	Garra dragón	ドラゴンクロー	Dragon Claw	Draco-Griffe	Drachenklaue	Dragartigli	드래곤클로	龙爪	龍爪
338		Planta feroz	Planta feroz	ハードプラント	Frenzy Plant	Végé-Attaque	Flora-Statue	Radicalbero	하드플랜트	疯狂植物	瘋狂植物
339		Corpulencia	Corpulencia	ビルドアップ	Bulk Up	Gonflette	Protzer	Granfisico	벌크업	健美	健美
340		Bote	Rebote	とびはねる	Bounce	Rebond	Sprungfeder	Rimbalzo	뛰어오르기	弹跳	彈跳
341		Disparo lodo	Disparo de lodo	マッドショット	Mud Shot	Tir de Boue	Lehmschuss	Colpodifango	머드샷	泥巴射击	泥巴射擊
342		Cola veneno	Cola venenosa	ポイズンテール	Poison Tail	Queue-Poison	Giftschweif	Velenocoda	포이즌테일	毒尾	毒尾
343		Antojo	Antojo	ほしがる	Covet	Implore	Bezirzer	Supplica	탐내기	渴望	渴望
344		Placaje eléctrico	Tacleada de voltios	ボルテッカー	Volt Tackle	Électacle	Volttackle	Locomovolt	볼트태클	伏特攻击	伏特攻擊
345		Hoja mágica	Hojas mágicas	マジカルリーフ	Magical Leaf	Feuille Magik	Zauberblatt	Fogliamagica	매지컬리프	魔法叶	魔法葉
346		Hidrochorro	Chapoteo de agua	みずあそび	Water Sport	Tourniquet	Nassmacher	Docciascudo	물놀이	玩水	玩水
347		Paz mental	Paz mental	めいそう	Calm Mind	Plénitude	Gedankengut	Calmamente	명상	冥想	冥想
348		Hoja aguda	Hoja aguda	リーフブレード	Leaf Blade	Lame Feuille	Laubklinge	Fendifoglia	리프블레이드	叶刃	葉刃
349		Danza dragón	Danza de dragón	りゅうのまい	Dragon Dance	Danse Draco	Drachentanz	Dragodanza	용의춤	龙之舞	龍之舞
350		Pedrada	Pedrada	ロックブラスト	Rock Blast	Boule Roc	Felswurf	Cadutamassi	록블라스트	岩石爆击	岩石爆擊
351		Onda voltio	Onda de choque	でんげきは	Shock Wave	Onde de Choc	Schockwelle	Ondashock	전격파	电击波	電擊波
352		Hidropulso	Pulso de agua	みずのはどう	Water Pulse	Vibraqua	Aquawelle	Idropulsar	물의파동	水之波动	水之波動
353		Deseo oculto	Deseo final	はめつのねがい	Doom Desire	Vœu Destructeur	Kismetwunsch	Desiderio Fatale	파멸의소원	破灭之愿	破滅之願
354		Psicoataque	Psicoimpulso	サイコブースト	Psycho Boost	Psycho-Boost	Psyschub	Psicoslancio	사이코부스트	精神突进	精神突進
355		Respiro	Respiro	はねやすめ	Roost	Atterrissage	Ruheort	Trespolo	날개쉬기	羽栖	羽棲
356		Gravedad	Gravedad	じゅうりょく	Gravity	Gravité	Erdanziehung	Gravità	중력	重力	重力
357		Gran ojo	Gran ojo	ミラクルアイ	Miracle Eye	Œil Miracle	Wunderauge	Miracolvista	미라클아이	奇迹之眼	奇跡之眼
358		Espabila	Despabilador	めざましビンタ	Wake-Up Slap	Réveil Forcé	Weckruf	Svegliopacca	잠깨움뺨치기	唤醒巴掌	喚醒巴掌
359		Machada	Brazo martillo	アームハンマー	Hammer Arm	Marto-Poing	Hammerarm	Martelpugno	암해머	臂锤	臂錘
360		Giro bola	Giro bola	ジャイロボール	Gyro Ball	Gyroballe	Gyroball	Vortexpalla	자이로볼	陀螺球	陀螺球
361		Deseo cura	Deseo sanador	いやしのねがい	Healing Wish	Vœu Soin	Heilopfer	Curardore	치유소원	治愈之愿	治癒之願
362		Salmuera	Agua salada	しおみず	Brine	Saumure	Lake	Acquadisale	소금물	盐水	鹽水
363		Don natural	Don natural	しぜんのめぐみ	Natural Gift	Don Naturel	Beerenkräfte	Dononaturale	자연의은혜	自然之恩	自然之恩
364		Amago	Amago	フェイント	Feint	Ruse	Offenlegung	Fintoattacco	페인트	佯攻	佯攻
365		Picoteo	Picoteo	ついばむ	Pluck	Picore	Pflücker	Spennata	쪼아대기	啄食	啄食
366		Viento afín	Viento afín	おいかぜ	Tailwind	Vent Arrière	Rückenwind	Ventoincoda	순풍	顺风	順風
367		Acupresión	Acupresión	つぼをつく	Acupressure	Acupression	Akupressur	Acupressione	경혈찌르기	点穴	點穴
368		Represión metal	Explosión metálica	メタルバースト	Metal Burst	Fulmifer	Metallstoß	Metalscoppio	메탈버스트	金属爆炸	金屬爆炸
369		Ida y vuelta	Ida y vuelta	とんぼがえり	U-turn	Demi-Tour	Kehrtwende	Retromarcia	유턴	急速折返	急速折返
370		A bocajarro	Cuerpo a cuerpo	インファイト	Close Combat	Close Combat	Nahkampf	Zuffa	인파이트	近身战	近身戰
371		Vendetta	Revancha	しっぺがえし	Payback	Représailles	Gegenstoß	Rivincita	보복	以牙还牙	以牙還牙
372		Buena baza	Garantía	ダメおし	Assurance	Assurance	Gewissheit	Garanzia	승부굳히기	恶意追击	惡意追擊
373		Embargo	Embargo	さしおさえ	Embargo	Embargo	Itemsperre	Divieto	금제	查封	查封
374		Lanzamiento	Lanzamiento	なげつける	Fling	Dégommage	Schleuder	Lancio	내던지기	投掷	投擲
375		Psicocambio	Psicocambio	サイコシフト	Psycho Shift	Échange Psy	Psybann	Psicotransfer	사이코시프트	精神转移	精神轉移
376		As oculto	As oculto	きりふだ	Trump Card	Atout	Trumpfkarte	Asso	마지막수단	王牌	王牌
377		Anticura	Anticuración	かいふくふうじ	Heal Block	Anti-Soin	Heilblockade	Anticura	회복봉인	回复封锁	回復封鎖
378		Estrujón	Apretón	しぼりとる	Wring Out	Essorage	Auswringen	Strizzata	쥐어짜기	绞紧	絞緊
379		Truco fuerza	Truco fuerza	パワートリック	Power Trick	Astuce Force	Krafttrick	Ingannoforza	파워트릭	力量戏法	力量戲法
380		Bilis	Ácido gástrico	いえき	Gastro Acid	Suc Digestif	Magensäfte	Gastroacido	위액	胃液	胃液
381		Conjuro	Cántico suerte	おまじない	Lucky Chant	Air Veinard	Beschwörung	Fortuncanto	주술	幸运咒语	幸運咒語
382		Yo primero	Yo primero	さきどり	Me First	Moi d’Abord	Egotrip	Precedenza	선취	抢先一步	搶先一步
383		Copión	Copión	まねっこ	Copycat	Photocopie	Imitator	Copione	흉내쟁이	仿效	仿效
384		Cambiafuerza	Cambiafuerza	パワースワップ	Power Swap	Permuforce	Krafttausch	Barattoforza	파워스왑	力量互换	力量互換
385		Cambiadefensa	Cambiadefensa	ガードスワップ	Guard Swap	Permugarde	Schutztausch	Barattoscudo	가드스왑	防守互换	防守互換
386		Castigo	Castigo	おしおき	Punishment	Punition	Strafattacke	Punizione	혼내기	惩罚	懲罰
387		Última baza	Último recurso	とっておき	Last Resort	Dernier Recours	Zuflucht	Ultimascelta	비장의무기	珍藏	珍藏
388		Abatidoras	Abatidoras	なやみのタネ	Worry Seed	Soucigraine	Sorgensamen	Affannoseme	고민씨	烦恼种子	煩惱種子
389		Golpe bajo	Golpe bajo	ふいうち	Sucker Punch	Coup Bas	Tiefschlag	Sbigoattacco	기습	突袭	突襲
390		Púas tóxicas	Púas tóxicas	どくびし	Toxic Spikes	Pics Toxik	Giftspitzen	Fielepunte	독압정	毒菱	毒菱
391		Cambiaalmas	Cambiaalmas	ハートスワップ	Heart Swap	Permucœur	Statustausch	Cuorbaratto	하트스왑	心灵互换	心靈互換
392		Acua aro	Acuaanillo	アクアリング	Aqua Ring	Anneau Hydro	Wasserring	Acquanello	아쿠아링	水流环	水流環
393		Levitón	Superimán	でんじふゆう	Magnet Rise	Vol Magnétik	Magnetflug	Magnetascesa	전자부유	电磁飘浮	電磁飄浮
394		Envite ígneo	Erupción	フレアドライブ	Flare Blitz	Boutefeu	Flammenblitz	Fuococarica	플레어드라이브	闪焰冲锋	閃焰衝鋒
395		Palmeo	Fuerza de palma	はっけい	Force Palm	Forte-Paume	Kraftwelle	Palmoforza	발경	发劲	發勁
396		Esfera aural	Aura esfera	はどうだん	Aura Sphere	Aurasphère	Aurasphäre	Sferapulsar	파동탄	波导弹	波導彈
397		Pulimento	Pulimento	ロックカット	Rock Polish	Poliroche	Steinpolitur	Lucidatura	록커트	岩石打磨	岩石打磨
398		Puya nociva	Golpe venenoso	どくづき	Poison Jab	Direct Toxik	Gifthieb	Velenpuntura	독찌르기	毒击	毒擊
399		Pulso umbrío	Pulso oscuro	あくのはどう	Dark Pulse	Vibrobscur	Finsteraura	Neropulsar	악의파동	恶之波动	惡之波動
400		Tajo umbrío	Corte umbrío	つじぎり	Night Slash	Tranche-Nuit	Nachthieb	Nottesferza	깜짝베기	暗袭要害	暗襲要害
401		Acua cola	Cola de agua	アクアテール	Aqua Tail	Hydro-Queue	Nassschweif	Idrondata	아쿠아테일	水流尾	水流尾
402		Bomba germen	Bomba semilla	タネばくだん	Seed Bomb	Canon Graine	Samenbomben	Semebomba	씨폭탄	种子炸弹	種子炸彈
403		Tajo aéreo	Corte aéreo	エアスラッシュ	Air Slash	Lame d’Air	Luftschnitt	Eterelama	에어슬래시	空气之刃	空氣斬
404		Tijera X	Tijera X	シザークロス	X-Scissor	Plaie Croix	Kreuzschere	Forbice X	시저크로스	十字剪	十字剪
405		Zumbido	Zumbido	むしのさざめき	Bug Buzz	Bourdon	Käfergebrumm	Ronzio	벌레의야단법석	虫鸣	蟲鳴
406		Pulso dragón	Pulso dragón	りゅうのはどう	Dragon Pulse	Draco-Choc	Drachenpuls	Dragopulsar	용의파동	龙之波动	龍之波動
407		Carga dragón	Carga dragón	ドラゴンダイブ	Dragon Rush	Draco-Charge	Drachenstoß	Dragofuria	드래곤다이브	龙之俯冲	龍之俯衝
408		Joya de luz	Joya de luz	パワージェム	Power Gem	Rayon Gemme	Juwelenkraft	Gemmoforza	파워젬	力量宝石	力量寶石
409		Puño drenaje	Puño drenador	ドレインパンチ	Drain Punch	Vampi-Poing	Ableithieb	Assorbipugno	드레인펀치	吸取拳	吸取拳
410		Onda vacío	Onda de vacío	しんくうは	Vacuum Wave	Onde Vide	Vakuumwelle	Vuotonda	진공파	真空波	真空波
411		Onda certera	Ataque centrado	きあいだま	Focus Blast	Exploforce	Fokusstoß	Focalcolpo	기합구슬	真气弹	真氣彈
412		Energibola	Bola de energía	エナジーボール	Energy Ball	Éco-Sphère	Energieball	Energipalla	에너지볼	能量球	能量球
413		Pájaro osado	Ave brava	ブレイブバード	Brave Bird	Rapace	Sturzflug	Baldeali	브레이브버드	勇鸟猛攻	勇鳥猛攻
414		Tierra viva	Poder terrestre	だいちのちから	Earth Power	Telluriforce	Erdkräfte	Geoforza	대지의힘	大地之力	大地之力
415		Trapicheo	Trueque	すりかえ	Switcheroo	Passe-Passe	Wechseldich	Rapidscambio	바꿔치기	掉包	掉包
416		Gigaimpacto	Gigaimpacto	ギガインパクト	Giga Impact	Giga Impact	Gigastoß	Gigaimpatto	기가임팩트	终极冲击	終極衝擊
417		Maquinación	Maquinación	わるだくみ	Nasty Plot	Machination	Ränkeschmied	Congiura	나쁜음모	诡计	詭計
418		Puño bala	Puño bala	バレットパンチ	Bullet Punch	Pisto-Poing	Patronenhieb	Pugnoscarica	불릿펀치	子弹拳	子彈拳
419		Alud	Alud	ゆきなだれ	Avalanche	Avalanche	Lawine	Slavina	눈사태	雪崩	雪崩
420		Esquirla helada	Esquirla helada	こおりのつぶて	Ice Shard	Éclats Glace	Eissplitter	Geloscheggia	얼음뭉치	冰砾	冰礫
421		Garra umbría	Garra de sombra	シャドークロー	Shadow Claw	Griffe Ombre	Dunkelklaue	Ombrartigli	섀도클로	暗影爪	暗影爪
422		Colmillo rayo	Colmillo trueno	かみなりのキバ	Thunder Fang	Crocs Éclair	Donnerzahn	Fulmindenti	번개엄니	雷电牙	雷電牙
423		Colmillo hielo	Colmillo hielo	こおりのキバ	Ice Fang	Crocs Givre	Eiszahn	Gelodenti	얼음엄니	冰冻牙	冰凍牙
424		Colmillo ígneo	Colmillo fuego	ほのおのキバ	Fire Fang	Crocs Feu	Feuerzahn	Rogodenti	불꽃엄니	火焰牙	火焰牙
425		Sombra vil	Sombra vil	かげうち	Shadow Sneak	Ombre Portée	Schattenstoß	Furtivombra	야습	影子偷袭	影子偷襲
426		Bomba fango	Bomba fango	どろばくだん	Mud Bomb	Boue-Bombe	Schlammbombe	Pantanobomba	진흙폭탄	泥巴炸弹	泥巴炸彈
427		Psicocorte	Psicocorte	サイコカッター	Psycho Cut	Coupe Psycho	Psychoklinge	Psicotaglio	사이코커터	精神利刃	精神利刃
